Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, LinAccX, LinAccY, LinAccZ, GRV1, GRV2, GRV3 ,GRV4 ,ROT1, ROT2, ROT3, ROT4, Pressure, Temperature
517358, -3.15625, -5.609375, 7.484375, -0.013671875, 0.015625, -0.00390625, 19.625, 13.5625, -25.3125, 0.0390625, 0.0625, -0.0546875, -1.180419921875, -0.748046875, 3.298828125, 1.779052734375, -0.31512451171875, -0.15167236328125, 0.76837158203125, 0.53607177734375, 1015.99267578125, 31.067718505859375
517458, -3.26953125, -5.68359375, 7.5234375, -0.029296875, -0.0078125, 0.017578125, 21.375, 13.1875, -26.3125, -0.04296875, 0.0625, -0.015625, -1.1796875, -0.747802734375, 3.3017578125, 1.774169921875, -0.31475830078125, -0.15179443359375, 0.7684326171875, 0.5361328125, 1015.99267578125, 31.067718505859375
517671, -3.1171875, -5.68359375, 7.5625, -0.05078125, 0.017578125, 0.0078125, 20.875, 14.125, -26.6875, -0.02734375, 0.09375, -0.046875, -1.1865234375, -0.7353515625, 3.287109375, 1.8017578125, -0.3150634765625, -0.1517333984375, 0.7684326171875, 0.535888671875, 1015.982666015625, 31.067718505859375
517785, -3.19140625, -5.72265625, 7.5234375, -0.01171875, 0.0078125, 0.025390625, 20.4375, 13.5, -26.3125, 0.0546875, 0.01171875, 0.0078125, -1.1875, -0.7333984375, 3.28369140625, 1.80810546875, -0.31561279296875, -0.152587890625, 0.76861572265625, 0.53509521484375, 1015.982421875, 31.0662841796875
517885, -3.15625, -5.72265625, 7.6015625, 0.001953125, -0.001953125, -0.009765625, 19.5, 13.875, -26.0, 0.0546875, -0.04296875, 0.078125, -1.192138671875, -0.72900390625, 3.276123046875, 1.8203125, -0.31494140625, -0.1517333984375, 0.768310546875, 0.53619384765625, 1015.982421875, 31.0662841796875
517986, -3.19140625, -5.72265625, 7.5625, 0.056640625, -0.009765625, -0.0078125, 20.375, 14.4375, -26.375, 0.01953125, -0.03515625, 0.0390625, -1.1904296875, -0.732421875, 3.280029296875, 1.8134765625, -0.31500244140625, -0.15203857421875, 0.76837158203125, 0.53594970703125, 1015.982421875, 31.0662841796875
518106, -3.15625, -5.68359375, 7.5625, -0.013671875, 0.021484375, 0.0078125, 19.4375, 13.875, -27.1875, 0.046875, -0.00390625, 0.03125, -1.185791015625, -0.739501953125, 3.291015625, 1.79345703125, -0.31512451171875, -0.15179443359375, 0.76837158203125, 0.535888671875, 1015.982421875, 31.0662841796875
518249, -3.19140625, -5.64453125, 7.5234375, 0.041015625, 0.009765625, -0.017578125, 19.9375, 14.125, -26.75, 0.046875, -0.00390625, 0.0, -1.173095703125, -0.757568359375, 3.319091796875, 1.74169921875, -0.315185546875, -0.1519775390625, 0.76837158203125, 0.535888671875, 1015.982421875, 31.0662841796875
518466, -3.19140625, -5.64453125, 7.5234375, 0.00390625, 0.0078125, -0.00390625, 20.9375, 13.5, -26.3125, -0.03515625, 0.03515625, 0.0, -1.166259765625, -0.7666015625, 3.333251953125, 1.71484375, -0.3153076171875, -0.152099609375, 0.76837158203125, 0.5357666015625, 1015.982421875, 31.0662841796875
518584, -3.23046875, -5.609375, 7.484375, 0.025390625, -0.001953125, -0.00390625, 19.5625, 13.875, -25.3125, 0.01171875, -0.05078125, 0.078125, -1.168701171875, -0.762939453125, 3.32861328125, 1.72412109375, -0.31512451171875, -0.15185546875, 0.7684326171875, 0.53582763671875, 1015.982421875, 31.0662841796875
