Time,i,j,k,w,Pressure,Temperature,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
119912.0,0.66473388671875,-0.5147705078125,0.42950439453125,0.3297119140625,1005.84619140625,23.76959228515625,8.59375,-0.01171875,-3.96484375,-0.001953125,0.083984375,0.005859375,-195.3125,-23.5,74.375,
120141.0,0.6641845703125,-0.514404296875,0.4302978515625,0.330322265625,1005.84765625,23.7684326171875,8.6328125,-0.08984375,-3.7734375,0.0,-0.017578125,0.0,-194.8125,-22.875,76.3125,
120203.0,0.6644287109375,-0.51458740234375,0.429931640625,0.33001708984375,1005.8486328125,23.75103759765625,8.6328125,-0.01171875,-3.8515625,0.001953125,0.001953125,0.00390625,-193.625,-22.6875,76.5,
120262.0,0.66473388671875,-0.51483154296875,0.429443359375,0.32965087890625,1005.85498046875,23.75103759765625,8.59375,-0.05078125,-4.00390625,-0.001953125,0.025390625,0.0,-194.375,-22.9375,77.625,
120323.0,0.66455078125,-0.51470947265625,0.42974853515625,0.329833984375,1005.839599609375,23.75103759765625,8.59375,-0.08984375,-3.890625,0.0,-0.048828125,-0.001953125,-194.3125,-22.875,76.0625,
120653.0,0.66455078125,-0.51470947265625,0.4296875,0.329833984375,1005.84716796875,23.75103759765625,8.59375,-0.01171875,-3.96484375,-0.001953125,-0.08984375,0.0,-195.8125,-22.625,74.9375,
120691.0,0.66485595703125,-0.51495361328125,0.42926025390625,0.3294677734375,1005.84423828125,23.75103759765625,8.59375,-0.08984375,-3.92578125,0.0,0.0390625,-0.001953125,-193.5625,-23.0625,75.0,
120751.0,0.66461181640625,-0.51483154296875,0.42950439453125,0.32977294921875,1005.85400390625,23.75335693359375,8.59375,-0.01171875,-3.890625,-0.001953125,0.005859375,0.00390625,-194.1875,-22.125,74.875,
120803.0,0.6646728515625,-0.514892578125,0.429443359375,0.3297119140625,1005.842529296875,23.752197265625,8.59375,-0.01171875,-3.890625,0.0,0.0703125,0.0,-195.6875,-23.0625,75.25,
121071.0,0.66473388671875,-0.51495361328125,0.42926025390625,0.32965087890625,1005.85546875,23.745269775390625,8.59375,-0.05078125,-3.8515625,-0.001953125,-0.005859375,-0.001953125,-194.1875,-23.125,76.4375,
121132.0,0.66485595703125,-0.5150146484375,0.42901611328125,0.32958984375,1005.8505859375,23.758026123046875,8.59375,-0.08984375,-4.00390625,0.00390625,0.021484375,0.0,-193.0,-22.9375,76.625,
121192.0,0.66461181640625,-0.51483154296875,0.42950439453125,0.329833984375,1005.848388671875,23.752197265625,8.59375,0.02734375,-3.8515625,-0.001953125,0.08203125,0.00390625,-194.1875,-23.125,76.4375,
